2017-11-15 01:00:18 UTC+1 DEBUG > VTCh4vMen1s6iRKcAAAA {"data":"herro"}
2017-11-15 01:01:43 UTC+1  INFO > VTCh4vMen1s6iRKcAAAA disconnected
2017-11-15 01:01:44 UTC+1  INFO > WrHmQTiZte9tK8p8AAAB connected
2017-11-15 01:01:44 UTC+1 DEBUG > WrHmQTiZte9tK8p8AAAB {"data":"herro"}
2017-11-15 01:02:39 UTC+1  INFO development mode
2017-11-15 01:02:39 UTC+1  INFO server listening to port 8080
2017-11-15 01:02:45 UTC+1  INFO development mode
2017-11-15 01:02:45 UTC+1  INFO server listening to port 8080
2017-11-15 01:03:26 UTC+1  INFO development mode
2017-11-15 01:03:26 UTC+1  INFO server listening to port 8080
2017-11-15 01:04:14 UTC+1  INFO development mode
2017-11-15 01:04:15 UTC+1  INFO server listening to port 8080
2017-11-15 01:04:43 UTC+1  INFO development mode
2017-11-15 01:04:44 UTC+1  INFO server listening to port 8080
2017-11-15 01:04:53 UTC+1  INFO development mode
2017-11-15 01:04:53 UTC+1  INFO server listening to port 8080
2017-11-15 01:05:23 UTC+1  INFO development mode
2017-11-15 01:05:24 UTC+1  INFO server listening to port 8080
2017-11-15 01:06:00 UTC+1  INFO development mode
2017-11-15 01:06:00 UTC+1  INFO server listening to port 8080
2017-11-15 01:06:12 UTC+1  INFO development mode
2017-11-15 01:06:12 UTC+1  INFO server listening to port 8080
2017-11-15 01:06:21 UTC+1  INFO > 5OjIBRhMvkb5WggdAAAA connected
2017-11-15 01:06:21 UTC+1 DEBUG > 5OjIBRhMvkb5WggdAAAA {"data":"herro"}
2017-11-15 01:06:53 UTC+1  INFO development mode
2017-11-15 01:06:53 UTC+1  INFO server listening to port 8080
2017-11-15 01:06:54 UTC+1  INFO > EqC4G1sJV88oa_RIAAAA connected
2017-11-15 01:06:59 UTC+1  INFO > 3AHoLsOgya0gAG38AAAB connected
2017-11-15 01:07:00 UTC+1 DEBUG > 3AHoLsOgya0gAG38AAAB {"data":"herro"}
2017-11-15 01:07:03 UTC+1  INFO development mode
2017-11-15 01:07:03 UTC+1  INFO server listening to port 8080
2017-11-15 01:07:08 UTC+1  INFO > Uf7FIvs70XglN8fZAAAA connected
2017-11-15 01:07:08 UTC+1 DEBUG > Uf7FIvs70XglN8fZAAAA {"data":"herro from client"}
2017-11-15 01:07:49 UTC+1  INFO > Uf7FIvs70XglN8fZAAAA disconnected
2017-11-15 01:07:50 UTC+1  INFO > u-qhJukoQyWF2fb_AAAB connected
